pollster	date	AP	H	FrP	SV	SP	KrF	V	MDG	R	Other
Verian/TV2	20.06.2017	32,2 (61)	22,3 (42)	13,7 (26)	3,5 (2)	14,5 (27)	4,5 (8)	2,8 (1)	2,1 (1)	2,6 (1)	1,9 (0)
Respons/Aftenp. / BT	16.06.2017	31,7 (58)	24,1 (44)	14,0 (27)	4,8 (9)	9,8 (18)	4,7 (9)	3,5 (2)	3,1 (1)	2,3 (1)	2,0 (0)
Opinion/ANB	15.06.2017	32,6 (60)	23,1 (41)	12,0 (22)	4,1 (7)	12,8 (23)	5,3 (9)	3,5 (2)	3,8 (4)	1,6 (1)	1,3 (0)
Norfakta/Nat. / KK	12.06.2017	28,5 (53)	25,5 (47)	14,4 (27)	4,7 (9)	12,1 (22)	4,4 (8)	3,0 (1)	3,2 (1)	2,5 (1)	1,8 (0)
InFact/VG	09.06.2017	32,3 (61)	20,5 (39)	12,5 (23)	4,5 (8)	11,8 (22)	4,8 (9)	3,2 (2)	3,6 (3)	3,5 (2)	3,3 (0)
Norstat/NRK	08.06.2017	33,0 (60)	23,7 (43)	14,0 (25)	4,3 (8)	11,6 (21)	4,4 (8)	3,4 (2)	2,8 (1)	1,2 (1)	1,6 (0)
InFact/LF	08.06.2017	34,8 (65)	21,2 (39)	10,9 (20)	4,6 (8)	12,8 (24)	4,8 (9)	3,0 (2)	2,8 (1)	2,5 (1)	2,6 (0)
Norstat/VL	01.06.2017	31,0 (58)	22,7 (43)	15,9 (30)	3,4 (2)	12,5 (24)	4,2 (8)	3,1 (2)	2,9 (1)	1,7 (1)	2,5 (0)
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
