name	station	date	rain_mm
Oslo - Blindern	SN18700	25.08.1937	0
Oslo - Blindern	SN18700	26.08.1937	0
Oslo - Blindern	SN18700	27.08.1937	0,7
Oslo - Blindern	SN18700	28.08.1937	0
Oslo - Blindern	SN18700	29.08.1937	0
Oslo - Blindern	SN18700	30.08.1937	0
Oslo - Blindern	SN18700	31.08.1937	14
Oslo - Blindern	SN18700	01.09.1937	0
Oslo - Blindern	SN18700	02.09.1937	11,8
Oslo - Blindern	SN18700	03.09.1937	3,2
Oslo - Blindern	SN18700	04.09.1937	0
Oslo - Blindern	SN18700	05.09.1937	0
Oslo - Blindern	SN18700	06.09.1937	12,5
Oslo - Blindern	SN18700	07.09.1937	2,9
Oslo - Blindern	SN18700	08.09.1937	2,6
Oslo - Blindern	SN18700	09.09.1937	2,8
Oslo - Blindern	SN18700	10.09.1937	0
Oslo - Blindern	SN18700	11.09.1937	0
Oslo - Blindern	SN18700	12.09.1937	0
Oslo - Blindern	SN18700	13.09.1937	0,3
Oslo - Blindern	SN18700	14.09.1937	9,3
Oslo - Blindern	SN18700	15.09.1937	0,7
Oslo - Blindern	SN18700	16.09.1937	0,6
Oslo - Blindern	SN18700	17.09.1937	8,3
Oslo - Blindern	SN18700	18.09.1937	36,8
Oslo - Blindern	SN18700	19.09.1937	21,2
Oslo - Blindern	SN18700	20.09.1937	0
Oslo - Blindern	SN18700	21.09.1937	0,7
Oslo - Blindern	SN18700	22.09.1937	0
Oslo - Blindern	SN18700	23.09.1937	0
Oslo - Blindern	SN18700	24.09.1937	0,1
Oslo - Blindern	SN18700	25.09.1937	2,5
Oslo - Blindern	SN18700	26.09.1937	0
Oslo - Blindern	SN18700	27.09.1937	0
Oslo - Blindern	SN18700	28.09.1937	0,7
Oslo - Blindern	SN18700	29.09.1937	4,1
Oslo - Blindern	SN18700	30.09.1937	0
Oslo - Blindern	SN18700	01.10.1937	0
Oslo - Blindern	SN18700	02.10.1937	0
Oslo - Blindern	SN18700	03.10.1937	0
Oslo - Blindern	SN18700	04.10.1937	0
Oslo - Blindern	SN18700	05.10.1937	0
Oslo - Blindern	SN18700	06.10.1937	0
Oslo - Blindern	SN18700	07.10.1937	0
Oslo - Blindern	SN18700	08.10.1937	0
Oslo - Blindern	SN18700	09.10.1937	0
Oslo - Blindern	SN18700	10.10.1937	0,1
Oslo - Blindern	SN18700	11.10.1937	0
Oslo - Blindern	SN18700	12.10.1937	0
Oslo - Blindern	SN18700	13.10.1937	0
Oslo - Blindern	SN18700	14.10.1937	0,6
