polllster;date;AP;H;Frp;SV;Sp;Krf;V;MDG;R;Other
Verian/TV2;09.09.2021;23,9 (44);19,1 (34);10,9 (17);9,2 (14);12,7 (26);4,9 (8);4,8 (8);4,7 (7);6,7 (10);3,3 (1)
Norstat/NRK;09.09.2021;24,7 (47);20,4 (34);12,0 (21);8,9 (14);11,9 (23);4,2 (6);4,9 (8);4,9 (8);4,9 (8);3,1 (0)
Norstat/DN;09.09.2021;24,6 (45);18,8 (34);11,9 (22);9,0 (16);11,6 (21);3,9 (3);5,8 (11);4,9 (9);4,6 (8);4,9 (0)
Respons/BT / VG;09.09.2021;26,6 (49);18,0 (32);12,4 (22);9,4 (17);11,1 (20);4,5 (8);3,9 (2);4,2 (8);6,0 (11);3,9 (0)
Verian/TV2;08.09.2021;23,7 (43);19,1 (34);11,2 (18);9,3 (15);13,4 (26);4,5 (7);4,6 (7);4,7 (8);6,4 (11);3,1 (0)
Verian/TV2;07.09.2021;23,8 (45);18,6 (32);11,1 (18);8,9 (14);13,8 (27);4,3 (7);4,8 (8);5,0 (8);6,2 (10);3,7 (0)
Norstat/NRK / Aftenp;07.09.2021;23,9 (44);18,5 (34);12,4 (23);8,6 (16);14,3 (28);3,4 (2);3,6 (2);5,4 (10);5,2 (10);4,7 (0)
Verian/TV2;06.09.2021;23,3 (43);19,4 (36);10,9 (17);9,5 (15);14,0 (27);4,1 (7);4,7 (7);4,7 (8);5,6 (9);3,8 (0)
Verian/TV2;05.09.2021;23,4 (43);20,5 (37);10,0 (18);9,4 (16);14,0 (27);3,6 (3);4,6 (8);4,3 (8);5,4 (9);4,9 (0)
Respons/BT / VG;02.09.2021;23,2 (42);20,1 (36);11,5 (20);10,4 (19);12,6 (22);3,6 (3);5,5 (10);4,9 (9);4,6 (8);3,6 (0)
Verian/TV2;02.09.2021;23,2 (43);21,2 (38);9,0 (16);9,5 (16);12,4 (23);4,3 (7);4,8 (8);5,0 (9);5,1 (9);5,4 (0)
Norstat/Aftenp.;01.09.2021;23,1 (43);19,6 (36);11,3 (19);10,6 (18);12,2 (21);4,7 (8);4,5 (8);4,8 (8);5,0 (8);3,9 (0)
Norstat/VL;01.09.2021;23,7 (42);19,0 (35);11,5 (20);10,0 (18);12,6 (22);3,7 (3);4,9 (9);5,8 (10);5,4 (10);3,4 (0)
Verian/TV2;01.09.2021;23,4 (44);21,5 (40);10,7 (18);9,7 (16);11,0 (19);4,1 (7);4,8 (8);5,0 (9);4,9 (8);4,9 (0)
Verian/TV2;29.08.2021;22,6 (42);19,2 (35);11,8 (20);10,2 (18);11,5 (22);3,8 (3);4,4 (8);5,0 (9);7,2 (12);4,3 (0)
Ipsos/Dagbladet;27.08.2021;23,6 (44);20,0 (37);12,5 (23);9,7 (18);12,5 (23);2,6 (1);3,4 (2);6,3 (12);4,6 (9);4,7 (0)
Norstat/DN;26.08.2021;26,2 (49);20,0 (36);11,3 (20);8,0 (14);12,0 (21);3,3 (2);4,9 (9);5,7 (10);4,9 (8);3,8 (0)
Respons/BT / VG;26.08.2021;26,6 (50);21,1 (37);9,4 (16);6,7 (11);11,9 (21);4,4 (7);4,5 (7);6,7 (11);5,3 (9);3,4 (0)
Verian/TV2;25.08.2021;22,4 (42);20,5 (38);10,7 (19);9,9 (18);11,2 (20);3,7 (3);4,8 (9);5,3 (9);6,3 (11);5,2 (0)
Sentio/Nettavisen;24.08.2021;23,9 (45);19,1 (36);9,8 (18);8,8 (16);13,2 (25);3,9 (3);3,8 (2);7,2 (14);5,4 (10);4,9 (0)
Norstat/Aftenp.;23.08.2021;26,8 (50);18,9 (35);10,5 (19);9,5 (17);12,8 (24);3,6 (3);3,8 (2);5,3 (10);4,7 (9);4,2 (0)
Verian/TV2;22.08.2021;22,7 (43);19,7 (36);9,3 (17);9,5 (17);13,0 (26);3,4 (2);4,4 (8);5,1 (9);5,9 (11);7,0 (0)
Respons/BT / VG;19.08.2021;24,9 (43);20,3 (36);11,6 (20);9,5 (16);11,3 (20);4,2 (7);5,0 (9);5,8 (10);4,7 (8);2,7 (0)
Norstat/NRK / Aftenp;17.08.2021;22,1 (43);21,9 (39);8,6 (16);7,6 (14);17,1 (35);2,9 (1);4,1 (7);6,7 (12);3,2 (2);5,8 (0)
Verian/TV2;15.08.2021;22,8 (43);21,2 (37);7,7 (13);9,3 (16);13,7 (29);5,1 (9);3,4 (2);6,3 (11);5,1 (9);5,6 (0)
Norstat/NRK;12.08.2021;25,5 (47);21,1 (38);10,9 (19);6,9 (12);16,2 (32);3,1 (2);3,3 (2);4,3 (8);4,9 (9);3,9 (0)
Norstat/DN;12.08.2021;24,0 (44);19,1 (34);10,1 (17);8,6 (15);16,1 (32);3,2 (1);4,3 (8);5,9 (10);4,6 (8);4,1 (0)
Respons/VG;12.08.2021;24,8 (44);18,9 (35);11,4 (19);9,4 (16);15,3 (30);3,3 (2);4,0 (7);5,1 (9);4,3 (7);3,5 (0)
Opinion/DA / FF / ANB;11.08.2021;22,6 (43);21,2 (40);9,3 (18);8,8 (17);19,2 (37);4,0 (8);3,8 (2);3,5 (2);3,8 (2);3,8 (0)
