MMDD,   CLIMO,    2013,    2014,    2015,    2016,    2017,    2018,    2019,    2020,    2021,    2022,    2023,    2024,    2025
0318,  10.535,  10.397,  12.848,   9.862,  10.399,   7.653,   5.512,   5.702,  10.960,   8.226,  10.283,   9.277,  22.071,     NaN
0319,  10.580,  10.389,  12.590,   9.303,  10.142,   7.851,   5.619,   5.721,  11.028,   8.299,  10.035,   9.218,  21.936,     NaN
0320,  10.628,  11.394,  13.113,   9.912,   9.813,   7.667,   5.990,   5.388,  11.357,   8.327,   9.862,   8.908,  21.941,     NaN
0321,  10.680,  11.015,  12.599,  10.998,   9.283,   8.007,   6.397,   6.239,  11.416,   8.451,   9.872,   9.005,  21.967,     NaN
0322,  10.739,  11.988,  11.880,  12.644,  10.038,   8.358,   7.056,   6.317,  11.489,   8.598,  10.006,   8.825,  23.323,     NaN
0323,  10.812,  12.821,  10.445,  14.241,  11.059,   8.399,   7.374,   6.657,  11.219,   9.219,   9.887,   8.753,  23.890,     NaN
0324,  10.899,  12.902,  10.117,  15.646,  11.718,   8.840,   7.432,   6.924,  10.872,   9.160,   9.824,   8.613,  24.064,     NaN
0325,  10.993,  12.206,   9.924,  15.932,  12.196,   9.061,   7.442,   7.076,  10.590,   9.345,   9.651,   8.748,  24.385,     NaN
0326,  11.094,  12.881,  10.577,  15.083,  11.970,   9.561,   7.612,   7.213,  10.782,   9.459,   9.514,   8.793,  25.356,     NaN
0327,  11.202,  14.030,  11.429,  14.878,  11.695,  10.051,   7.816,   7.341,  10.948,   9.506,   9.302,   8.623,  26.203,     NaN
0328,  11.315,  13.182,  11.692,  15.048,  12.052,  10.285,   7.777,   7.654,  11.123,   9.220,   9.717,   8.690,  26.772,     NaN
0329,  11.428,  12.708,  12.354,  14.342,  12.746,  10.699,   7.745,   7.841,  11.338,   8.804,   9.416,   8.443,  27.019,     NaN
0330,  11.542,  13.319,  12.786,  12.773,  12.677,  10.947,   7.461,   7.856,     NaN,   8.508,   9.731,   8.656,  26.633,     NaN
0331,  11.654,  13.055,  12.990,  11.604,     NaN,  11.051,   7.409,   7.799,  11.241,   8.816,   9.749,   8.743,  26.219,     NaN
0401,  11.767,  13.355,  12.984,  10.566,  11.905,  11.109,   7.224,   7.929,  11.199,   8.824,   9.582,   8.565,  26.541,     NaN
0402,  11.879,  13.476,  12.452,  10.433,  11.567,  11.340,   7.341,   8.467,  11.453,   8.849,   9.561,   8.273,  26.630,     NaN
0403,  11.990,  14.027,  11.818,   9.816,  11.685,  10.713,   7.552,   8.675,  11.696,   8.743,   9.788,   8.148,     NaN,     NaN
0404,  12.101,  14.189,  11.810,  10.129,  12.654,   9.778,   7.852,   9.243,  12.087,   8.931,   9.931,   8.394,     NaN,     NaN
0405,  12.214,  14.003,  11.828,  10.482,  13.423,   9.349,   8.406,   9.808,  12.354,   9.186,  10.048,   8.291,  25.744,     NaN
0406,  12.331,  14.667,  12.330,  10.875,  14.146,   9.397,   8.681,   8.757,  12.258,   8.574,  10.049,   8.079,  26.168,     NaN
0407,  12.453,  15.136,  12.191,  11.027,  14.481,  10.183,   8.678,   8.651,  12.466,   8.629,  10.182,   8.015,  26.860,     NaN
0408,  12.583,  14.832,  12.523,  10.787,  15.087,  12.104,   8.936,   9.216,  12.836,   9.380,  10.157,   7.769,  27.305,     NaN
0409,  12.721,  15.036,  12.108,  10.936,  15.923,  13.215,   9.518,   8.895,  13.528,   9.774,  10.152,   7.812,  27.846,     NaN
0410,  12.870,  14.710,  11.798,  10.488,  15.593,  13.439,   9.447,   8.776,  14.245,   9.737,  10.293,   8.894,  28.001,     NaN
0411,  13.028,  13.931,  11.405,  11.370,  15.052,  13.458,   9.881,   9.152,  15.154,  10.393,  10.155,   9.762,  27.859,     NaN
0412,  13.198,     NaN,  10.913,  11.957,  14.934,  13.353,   9.727,   9.569,  15.811,  10.442,  10.208,  10.126,  27.738,     NaN
0413,  13.377,  13.344,  10.852,  10.665,  15.137,  13.465,   9.847,   9.363,  16.422,  10.638,  10.245,  10.602,  27.562,     NaN
0414,  13.565,  14.200,  11.381,  10.049,  16.372,  13.060,   9.617,   8.980,  16.495,  10.888,  10.079,  10.950,  27.360,     NaN
0415,  13.763,  13.437,  12.108,   9.193,  17.867,  13.158,   9.918,   8.996,  16.302,  11.449,  10.274,  11.150,  27.138,     NaN
0416,  13.977,  12.802,  12.006,   8.925,  18.452,  12.897,  10.041,   9.232,  16.523,  11.545,  10.151,  11.182,  27.251,     NaN
0417,  14.206,  13.662,  12.017,   8.723,  18.546,  12.759,   9.885,   9.398,  17.156,  11.660,  10.374,  11.201,  27.259,     NaN
0418,  14.445,  13.798,  12.711,   9.227,  17.820,  12.146,   9.453,   9.643,  17.593,  11.812,  10.645,  11.747,  27.025,     NaN
0419,  14.691,  14.042,  12.882,   9.250,  16.418,  12.387,   9.601,  10.085,  17.948,  11.629,  11.576,  12.310,  26.824,     NaN
0420,  14.943,  14.162,  12.474,   9.435,  15.081,  12.524,   9.565,  10.128,  18.105,  11.686,  11.937,  12.435,  27.516,     NaN
0421,  15.197,  14.546,  11.442,   9.751,  14.863,  12.197,  10.232,   9.854,  17.987,  12.369,  12.427,  12.588,  27.885,     NaN
0422,  15.450,  16.738,  11.391,  10.762,  14.865,  13.094,  10.678,   9.976,  17.910,  12.609,  12.664,  13.130,  28.278,     NaN
0423,  15.693,  18.200,  12.038,  11.964,  14.804,  13.788,  10.944,  10.284,  17.886,  13.022,  13.133,  14.283,  28.987,     NaN
0424,  15.926,  18.228,  13.519,  13.020,  15.351,  14.575,  11.000,  10.725,  17.918,  13.404,  13.208,  16.334,  29.785,     NaN
0425,  16.153,  18.094,  13.377,  14.102,  15.535,  15.255,  11.525,  11.215,  18.082,  13.554,  13.084,  18.174,  30.818,     NaN
0426,  16.376,  18.190,  14.642,  15.654,  16.478,  15.453,  11.853,  11.271,  18.228,  14.083,  12.996,  20.292,  31.457,     NaN
0427,  16.593,  17.936,  15.350,  16.732,  18.169,  15.777,  12.475,  11.811,  18.026,  14.605,  12.900,  20.712,  31.257,     NaN
0428,  16.806,  17.726,  16.122,  16.733,  19.023,  16.100,  12.502,  12.621,  17.960,  14.952,  12.478,  21.319,  32.211,     NaN
0429,  17.020,  18.496,  16.094,  16.854,  19.609,  16.809,  12.270,  12.934,  18.099,  15.602,  12.108,  21.736,  32.249,     NaN
0430,  17.237,  19.685,  15.793,  17.333,  19.348,  16.986,  12.627,  13.137,  18.284,  15.935,  12.264,  22.030,  32.703,     NaN
0501,  17.457,  19.475,  14.996,  16.819,  20.072,  16.641,  12.647,  13.129,  18.244,  15.570,  12.364,  22.719,  32.692,     NaN
0502,  17.682,  20.591,  15.432,  17.557,  21.804,  16.688,  12.718,  12.807,  18.348,  15.771,  13.052,  23.270,  32.964,     NaN
0503,  17.916,  21.605,  16.981,  18.644,  22.171,  17.013,  12.762,  12.646,  18.172,  16.127,  13.709,  23.750,  33.270,     NaN
0504,  18.160,  21.254,  17.495,  20.035,  22.721,  17.218,  12.737,  12.239,  18.005,  16.237,  13.904,  23.906,  33.232,     NaN
0505,  18.411,  23.193,  17.268,  19.307,  23.063,  17.868,  12.913,  12.387,  17.910,  16.220,  14.119,  24.069,  33.216,     NaN
