speces	phylum 	lfc	se	W	p	q	diff	passed_ss	log2FC	Significant
GGB80140_SGB15224	Firmicutes	-0.7757818675967442	0.22725658326985856	-3.4136827036404602	0.0012947151254223991	0.008130810987652667	TRUE	FALSE	-1.1192166531934014	ned
GGB9712_SGB15244	Firmicutes	-1.6906608151273586	0.21208010735271846	-7.971802901417607	8.605543376558292e-9	7.051430415797389e-7	TRUE	FALSE	-2.439107973809533	ned
Candidatus_Allochristensenella_caecavium	Firmicutes	-0.8146205558627777	0.22744485895893496	-3.581617802184999	8.482964818192897e-4	0.006342026078363261	TRUE	FALSE	-1.1752490361494403	ned
Candidatus_Aristotella_avistercoris	Firmicutes	-0.9181564448573281	0.20317447569196173	-4.519054087529034	8.480558751557716e-5	0.0010191867640256006	TRUE	FALSE	-1.3246197497559082	ned
Candidatus_Pseudobutyricicoccus_lothianensis	Firmicutes	-1.420195784717071	0.22292522534194895	-6.370727146461813	4.977929533231163e-8	2.232956962049407e-6	TRUE	FALSE	-2.0489094157027283	ned
Clostridium_sp_1001270H_150608_G6	Firmicutes	-1.133863232444176	0.34037711478373117	-3.3311970258770485	0.001650157598393039	0.009776405394253099	TRUE	FALSE	-1.6358188624935428	ned
Clostridium_sp_Marseille_P3244	Firmicutes	-1.0262351935412515	0.21594780649035003	-4.752237173509379	6.463783240239306e-5	8.456783072646426e-4	TRUE	FALSE	-1.480544424507689	ned
Eubacterium_SGB6276	Firmicutes	-1.583958417184228	0.2500811117888611	-6.3337786922569945	6.401931836049658e-7	2.2335628850217696e-5	TRUE	TRUE	-2.285168953446018	ned
Clostridiales_bacterium_NSJ_40	Firmicutes	-1.2346428013432258	0.19476465743357374	-6.339152172741155	1.0324523568906872e-6	3.2419004006367574e-5	TRUE	FALSE	-1.7812130467671294	ned
Gemmiger_formicilis	Firmicutes	-0.7352732475584274	0.3037046970084717	-2.4210137505312184	0.017262011738327906	0.06691693439302422	TRUE	FALSE	-1.0607750679508663	ned
Intestinimonas_massiliensis	Firmicutes	-0.9841220014849198	0.24700959607776696	-3.984144815066557	3.66182338377509e-4	0.0031592093370473276	TRUE	FALSE	-1.419787931172015	ned
Lawsonibacter_sp_NSJ_51	Firmicutes	-1.23068630167143	0.22720385229872847	-5.416661245925175	6.501878153761267e-6	1.2276835938796038e-4	TRUE	FALSE	-1.7755050243113508	ned
Blautia_obeum	Firmicutes	-0.9233151177180784	0.24904813833680162	-3.707376107623933	3.722635206074877e-4	0.0031592093370473276	TRUE	FALSE	-1.3320621415096812	ned
Enterocloster_aldenensis	Firmicutes	-0.9619948782413565	0.25325705711638685	-3.7984918927619935	8.297453091629604e-4	0.006342026078363261	TRUE	FALSE	-1.3878652401993874	ned
Enterocloster_SGB14313	Firmicutes	-0.72183008795149906	0.25784686283144614	-2.799452667467037	0.009167223673928814	0.042574435919751	TRUE	FALSE	-1.041380688252072	ned
GGB3538_SGB4728	Firmicutes	-0.9366346139312818	0.25693013392662994	-3.645483694795999	9.089850095230333e-4	0.006347278092369332	TRUE	TRUE	-1.351278112643609	ned
GGB3653_SGB4964	Firmicutes	-0.8878794416584019	0.26429387053142384	-3.3594401560396214	0.0013854521870260235	0.008530038955415126	TRUE	FALSE	-1.2809392673878381	ned
Lachnospira_sp_NSJ_43	Firmicutes	-1.1585270598210462	0.25422879345775423	-4.557025363114746	3.695240122911729e-5	5.274115448155831e-4	TRUE	TRUE	-1.671401243939495	ned
Lachnotalea_sp_AF33_28	Firmicutes	-0.8230332121624957	0.23420041124790442	-3.5142261611629	0.0012099239534412482	0.007769557130850861	TRUE	FALSE	-1.1873859336737467	ned
Anaerofilum_sp_BX8	Firmicutes	-0.7260280772538026	0.23103574932923823	-3.1424923604319517	0.003936794912637734	0.021686905308214887	TRUE	FALSE	-1.0474371066002102	ned
Anaerotruncus_rubiinfantis	Firmicutes	-0.7313175814483	0.21084630454353723	-3.468486597531481	0.0011002126378634575	0.007490446044889284	TRUE	FALSE	-1.055068248070373	ned
GGB33928_SGB15225	Firmicutes	-0.7366651794590547	0.2295068681748805	-3.209774005097433	0.0021052042612866575	0.012018802509891098	TRUE	FALSE	-1.0627832012011567	ned
GGB38744_SGB14842	Firmicutes	-1.0053392163514412	0.21763868911491804	-4.619303766439247	7.298857837795183e-5	9.16736544427075e-4	TRUE	FALSE	-1.450397901841421	ned
GGB9619_SGB15067	Firmicutes	-0.7733223979280023	0.26322514087631305	-2.937874381426883	0.0046349171252780125	0.024256066288954933	TRUE	FALSE	-1.1156683884990906	ned
Pseudoflavonifractor_sp_An184	Firmicutes	-1.4273160510095684	0.2492138655882086	-5.727273832219313	3.821731006963054e-6	9.230950278356915e-5	TRUE	TRUE	-2.0591817885727233	ned
Holdemanella_porci	Firmicutes	-1.283013747710904	0.23924982130446867	-5.362652898612385	1.2937502381357348e-5	2.0311878738731037e-4	TRUE	FALSE	-1.850997571214885	ned
GGB9818_SGB15459	Proteobacteria	-0.8957629380439366	0.21471636693853569	-4.171842840002765	1.7527566599435858e-4	0.0017753728749105998	TRUE	FALSE	-1.2923127485281152	ned
