name	station	month	rain_mm
Oslo - Blindern	SN18700	06.1961	65,8
Oslo - Blindern	SN18700	07.1961	63,4
Oslo - Blindern	SN18700	08.1961	67
Oslo - Blindern	SN18700	09.1961	114,7
Oslo - Blindern	SN18700	10.1961	163
Oslo - Blindern	SN18700	11.1961	90,3
Oslo - Blindern	SN18700	12.1961	36,5
Oslo - Blindern	SN18700	01.1962	60,1
Oslo - Blindern	SN18700	02.1962	48,7
Oslo - Blindern	SN18700	03.1962	32,6
Oslo - Blindern	SN18700	04.1962	59,2
Oslo - Blindern	SN18700	05.1962	88
Oslo - Blindern	SN18700	06.1962	43,1
Oslo - Blindern	SN18700	07.1962	94,1
Oslo - Blindern	SN18700	08.1962	148,5
Oslo - Blindern	SN18700	09.1962	74
Oslo - Blindern	SN18700	10.1962	41,2
Oslo - Blindern	SN18700	11.1962	63,7
Oslo - Blindern	SN18700	12.1962	56,7
Oslo - Blindern	SN18700	01.1963	4
Oslo - Blindern	SN18700	02.1963	5,1
Oslo - Blindern	SN18700	03.1963	21,1
Oslo - Blindern	SN18700	04.1963	75,5
Oslo - Blindern	SN18700	05.1963	115,6
Oslo - Blindern	SN18700	06.1963	48,1
Oslo - Blindern	SN18700	07.1963	54,1
Oslo - Blindern	SN18700	08.1963	141,9
Oslo - Blindern	SN18700	09.1963	101,3
Oslo - Blindern	SN18700	10.1963	72,2
Oslo - Blindern	SN18700	11.1963	99,7
Oslo - Blindern	SN18700	12.1963	6,7
Oslo - Blindern	SN18700	01.1964	14,5
Oslo - Blindern	SN18700	02.1964	20,1
Oslo - Blindern	SN18700	03.1964	0,4
Oslo - Blindern	SN18700	04.1964	34,1
Oslo - Blindern	SN18700	05.1964	32,3
Oslo - Blindern	SN18700	06.1964	109,3
Oslo - Blindern	SN18700	07.1964	76,2
Oslo - Blindern	SN18700	08.1964	77,1
Oslo - Blindern	SN18700	09.1964	96,9
Oslo - Blindern	SN18700	10.1964	158,1
Oslo - Blindern	SN18700	11.1964	40,9
Oslo - Blindern	SN18700	12.1964	67,7
Oslo - Blindern	SN18700	01.1965	56,3
Oslo - Blindern	SN18700	02.1965	8,8
Oslo - Blindern	SN18700	03.1965	20,7
Oslo - Blindern	SN18700	04.1965	54,5
Oslo - Blindern	SN18700	05.1965	82,1
Oslo - Blindern	SN18700	06.1965	110,1
Oslo - Blindern	SN18700	07.1965	114,7
Oslo - Blindern	SN18700	08.1965	115,1
Oslo - Blindern	SN18700	09.1965	228,5
Oslo - Blindern	SN18700	10.1965	21,1
Oslo - Blindern	SN18700	11.1965	33,6
Oslo - Blindern	SN18700	12.1965	70
Oslo - Blindern	SN18700	01.1966	33,8
Oslo - Blindern	SN18700	02.1966	86,6
Oslo - Blindern	SN18700	03.1966	40,2
Oslo - Blindern	SN18700	04.1966	28
Oslo - Blindern	SN18700	05.1966	66,7
Oslo - Blindern	SN18700	06.1966	39,5
Oslo - Blindern	SN18700	07.1966	54,4
Oslo - Blindern	SN18700	08.1966	112,9
Oslo - Blindern	SN18700	09.1966	66,7
Oslo - Blindern	SN18700	10.1966	119,6
Oslo - Blindern	SN18700	11.1966	106,9
Oslo - Blindern	SN18700	12.1966	136,5
Oslo - Blindern	SN18700	01.1967	58
Oslo - Blindern	SN18700	02.1967	58,8
Oslo - Blindern	SN18700	03.1967	53,6
Oslo - Blindern	SN18700	04.1967	36
Oslo - Blindern	SN18700	05.1967	89,6
Oslo - Blindern	SN18700	06.1967	70,6
Oslo - Blindern	SN18700	07.1967	55,2
Oslo - Blindern	SN18700	08.1967	116,1
Oslo - Blindern	SN18700	09.1967	56,9
Oslo - Blindern	SN18700	10.1967	139
Oslo - Blindern	SN18700	11.1967	93,2
Oslo - Blindern	SN18700	12.1967	80,1
Oslo - Blindern	SN18700	01.1968	51
