PathwaySortOrder	Biochemical	SuperPathway	SubPathway	Comp.ID	Platform	Chemical.ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
109	N6,N6-dimethyllysine	Amino Acid	Lysine Metabolism	62862	LC/MS Pos Early	100020417	2831	175,1441	193344	2259-86-1	C05545	HMDB13287
101	N6-acetyllysine	Amino Acid	Lysine Metabolism	36752	LC/MS Neg	100001734	1059	187,1088	92832	692-04-6	C02727	HMDB00206
3972	N6-carbamoylthreonyladenosine	Nucleotide	Purine Metabolism, Adenine containing	35157	LC/MS Neg	100001415	2164	411,127	161466	24719-82-2		HMDB41623
1340	N6-carboxymethyllysine	Carbohydrate	Advanced Glycation End-product	36713	LC/MS Pos Early	100001768	2500	205,1183	123800	03.04.5746		
108	N6-methyllysine	Amino Acid	Lysine Metabolism	62860	LC/MS Pos Early	100003415	2831	161,1285	164795	1188-07-4	C02728	HMDB02038
3982	N6-succinyladenosine	Nucleotide	Purine Metabolism, Adenine containing	48130	LC/MS Neg	100001664	940	382,1004	165243	4542-23-8		HMDB00912
5075	naproxen	Xenobiotics	Drug - Analgesics, Anesthetics	12122	LC/MS Neg	1384	4155	229,087	156391	22204-53-1	C01517	HMDB01923
1773	nervonoylcarnitine (C24:1)*	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	57531	LC/MS Pos Late	100015846	1602	510,4517				
4105	nicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	594	LC/MS Pos Early	432	1942	123,0553	936	98-92-0	C00153	HMDB01406
1463	nisinate (24:6n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	57810	LC/MS Neg	100015785	5657	355,2643	11792612	68378-49-4		HMDB02007
1415	nonadecanoate (19:0)	Lipid	Long Chain Saturated Fatty Acid	1356	LC/MS Neg	892	6068	297,2799	12591	646-30-0	C16535	HMDB00772
1744	nonanoylcarnitine (C9)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	61775	LC/MS Pos Late	100006620	1010	302,2326				HMDB13288
22	O-acetylhomoserine	Amino Acid	Glycine, Serine and Threonine Metabolism	31539	LC/MS Polar	100001129	1850	160,0615	439389	7540-67-2	C01077	
4342	o-cresol sulfate	Xenobiotics	Benzoate Metabolism	36845	LC/MS Neg	100001806	2796	187,0071	11615528			
5118	O-desmethyltramadol	Xenobiotics	Drug - Analgesics, Anesthetics	53239	LC/MS Pos Early	100006382	3045	250,1802	130829	73986-53-5		HMDB60997
5119	O-desmethyltramadol glucuronide	Xenobiotics	Drug - Analgesics, Anesthetics	52357	LC/MS Pos Early	100006383	2741	426,2123		383891-39-2		
5470	O-desmethylvenlafaxine	Xenobiotics	Drug - Psychoactive	43334	LC/MS Pos Early	100004173	3253	264,1958	125017	300827-87-6	D07793	HMDB60532
5394	o-hydroxyatorvastatin	Xenobiotics	Drug - Metabolic	47883	LC/MS Neg	100005933	5015	573,2406	9808225	214217-86-4		
5395	o-hydroxyatorvastatin lactone	Xenobiotics	Drug - Metabolic	47879	LC/MS Pos Late	100005937	1145	557,2446				
5627	O-sulfo-L-tyrosine	Xenobiotics	Chemical	45413	LC/MS Neg	100005384	990	260,0234	514186			
1596	octadecadienedioate (C18:2-DC)*	Lipid	Fatty Acid, Dicarboxylate	61860	LC/MS Neg	100019982	4676	309,2071				
1594	octadecanedioate (C18)	Lipid	Fatty Acid, Dicarboxylate	36754	LC/MS Neg	100001615	5043	313,2384	70095	871-70-5		HMDB00782
1796	octadecanedioylcarnitine (C18-DC)*	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)	61867	LC/MS Pos Late	100005998	1227	458,3476		123233-50-1		
1595	octadecenedioate (C18:1-DC)	Lipid	Fatty Acid, Dicarboxylate	61861	LC/MS Neg	100019978	4875	311,2228				
1797	octadecenedioylcarnitine (C18:1-DC)*	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)	61865	LC/MS Pos Late	100005996	1180	456,332		251981-06-3		
